,first_name,last_name,position,team,GP,G,A,PTS,PIM
678,Andrew,Peeke, D ,CBJ,22,1,2,3,4
679,Vladimir,Sobotka, C ,BUF,16,1,2,3,4
680,Yannick,Weber, D ,NSH,41,1,2,3,14
681,Luke,Schenn, D ,TB,25,1,2,3,23
682,Andrew,Agozzino, LW,PIT/ANA,22,1,2,3,4
683,Luke,Witkowski, D ,TB,12,1,2,3,13
684,Christian,Djoos, D ,WSH/ANA,11,1,2,3,0
685,Dylan,Sikura, C ,CHI,9,1,2,3,0
686,Christian,Jaros, D ,OTT,13,0,3,3,6
687,Julien,Gauthier, RW,CAR/NYR,17,0,3,3,8
688,Calle,Rosen, D ,COL/TOR,12,0,3,3,4
689,Adam,Brooks, C ,TOR,7,0,3,3,0
690,Justin,Abdelkader, LW,DET,49,0,3,3,25
691,Greg,Pateryn, D ,MIN,20,0,3,3,6
692,Alex,Biega, D ,DET,49,0,3,3,24
693,Matt,Irwin, D ,ANA/NSH,36,0,3,3,15
694,Matt,Tennyson, D ,NJ,20,0,3,3,6
695,Nic,Petan, C ,TOR,16,0,3,3,4
696,Andreas,Englund, D ,OTT,24,0,3,3,12
697,Tyler,Graovac, C ,VAN,8,2,0,2,2
698,Connor,Clifton, D ,BOS,31,2,0,2,12
699,Logan,O'Connor, RW,COL,16,2,0,2,2
700,Gerald,Mayhew, RW,MIN,13,2,0,2,2
701,Cody,Goloubef, D ,DET/OTT,26,1,1,2,8
702,Sam,Carrick, C ,ANA,9,1,1,2,0
703,Nick,Bjugstad, C ,PIT,13,1,1,2,8
704,Fredrik,Claesson, D ,NJ,5,1,1,2,0
705,Scott,Wilson, LW,BUF,6,1,1,2,2
706,Christian,Folin, D ,MTL,16,1,1,2,13
707,Charles,Hudon, LW,MTL,15,1,1,2,0
708,Nathan,Walker, LW,STL,5,1,1,2,4
709,Nick,Merkley, RW,NJ,4,1,1,2,2
710,Daniel,Sprong, RW,ANA,8,1,1,2,0
711,Jeremy,Lauzon, D ,BOS,19,1,1,2,29
712,Cole,Bardreau, C ,NYI,10,1,1,2,6
713,Connor,Bunnaman, C ,PHI,21,1,1,2,2
714,Ryan,Poehling, C ,MTL,27,1,1,2,4
715,Nick,Caamano, RW,DAL,12,1,1,2,4
716,Adam,Johnson, C ,PIT,7,1,1,2,2
717,Steven,Kampfer, D ,BOS,10,0,2,2,2
718,Mark,Barberio, D ,COL,21,0,2,2,16
719,Brandon,Pirri, C ,VGS,16,0,2,2,8
720,Sven,Baertschi, LW,VAN,6,0,2,2,4
721,Tomas,Jurco, RW,EDM,12,0,2,2,4
722,Xavier,Ouellet, D ,MTL,12,0,2,2,4
723,Matthew,Peca, C ,MTL/OTT,14,0,2,2,0
724,Joel,Hanley, D ,DAL,8,0,2,2,6
725,Jacob,Middleton, D ,SJ,10,0,2,2,9
726,Joe,Hicketts, D ,DET,6,0,2,2,2
727,Zach,Senyshyn, RW,BOS,4,0,2,2,0
728,Michael,McLeod, C ,NJ,12,0,2,2,4
729,Nico,Sturm, C ,MIN,6,0,2,2,0
730,Joel,Persson, D ,EDM,13,0,2,2,2
731,Kyle,Capobianco, D ,ARI,9,1,0,1,2
732,Lukas,Vejdemo, C ,MTL,7,1,0,1,0
733,Vitaly,Abramov, RW,OTT,2,1,0,1,2
734,Carsen,Twarynski, LW,PHI,15,1,0,1,4
735,Klim,Kostin, LW,STL,4,1,0,1,0
736,David,Gustafsson, C ,WPG,22,1,0,1,0
737,Egor,Korshkov, RW,TOR,1,1,0,1,0
738,Cale,Fleury, D ,MTL,41,1,0,1,6
739,David,Kase, RW,PHI,6,1,0,1,0
740,Joel,Kiviranta, LW,DAL,11,1,0,1,4
741,Mikey,Anderson, D ,LA,6,1,0,1,0
742,Andrew,Ladd, LW,NYI,4,1,0,1,4
743,Troy,Brouwer, RW,STL,13,1,0,1,7
744,Micheal,Haley, C ,NYR,22,1,0,1,50
745,Brandon,Manning, D ,EDM,9,1,0,1,17
746,Patrick,Brown, C ,VGS,1,1,0,1,0
747,Miikka,Salomaki, RW,NSH,5,1,0,1,4
748,Alan,Quine, C ,CGY,9,1,0,1,4
749,Jani,Hakanpaa, D ,ANA,5,1,0,1,2
750,Daniel,Carr, LW,NSH,11,1,0,1,4
751,Buddy,Robinson, RW,CGY,5,1,0,1,7
752,Gemel,Smith, C ,TB,3,1,0,1,4
753,Colby,Cave, C ,EDM,11,1,0,1,4
754,Maxim,Letunov, C ,SJ,3,1,0,1,0
755,Anthony,Angello, C ,PIT,8,1,0,1,4
756,Joel,L'Esperance, RW,DAL,3,1,0,1,2
757,Niko,Mikkola, D ,STL,5,0,1,1,0
758,Anton,Lindholm, D ,COL,4,0,1,1,0
759,J.C.,Beaudin, C ,OTT,22,0,1,1,7
760,Jordan,Gross, D ,ARI,2,0,1,1,0
761,Tyler,Benson, LW,EDM,7,0,1,1,0
762,Tim,Gettinger, LW,NYR,2,0,1,1,0
763,Gage,Quinney, LW,VGS,3,0,1,1,0
764,Mathieu,Olivier, C ,NSH,8,0,1,1,4
765,Lias,Andersson, C ,NYR,17,0,1,1,4
766,Timothy,Liljegren, D ,TOR,11,0,1,1,2
767,Gustav,Lindstrom, D ,DET,16,0,1,1,14
768,Jason,Robertson, LW,DAL,3,0,1,1,0
769,Eetu,Luostarinen, C ,CAR,8,0,1,1,0
770,Alexander,Volkov, RW,TB,9,0,1,1,6
771,Jack,Studnicka, C ,BOS,2,0,1,1,2
772,Lucas,Carlsson, D ,CHI,6,0,1,1,0
773,Mason,Marchment, LW,TOR,4,0,1,1,0
774,Zach,Whitecloud, D ,VGS,16,0,1,1,4
775,Liam,Foudy, C ,CBJ,2,0,1,1,0
776,Martin,Fehervary, D ,WSH,6,0,1,1,6
777,Kiefer,Sherwood, RW,ANA,10,0,1,1,6
778,Jonathan,Davidsson, RW,OTT,6,0,1,1,0
779,Lean,Bergmann, LW,SJ,12,0,1,1,4
780,Chris,Stewart, RW,PHI,16,0,1,1,21
781,Brian,Lashoff, D ,DET,9,0,1,1,6
782,Aaron,Ness, D ,ARI,24,0,1,1,0
783,Derek,Forbort, D ,CGY/LA,20,0,1,1,4
784,Ben,Street, RW,NJ,3,0,1,1,0
785,Andy,Andreoff, C ,PHI,14,0,1,1,2
786,T.J.,Tynan, C ,COL,16,0,1,1,2
