,first_name,last_name,position,team,GP,G,A,PTS,PIM
369,Justin,Braun, D ,PHI,62,3,16,19,18
370,Oskar,Lindblom, LW,PHI,30,11,7,18,4
371,Mark,Pysyk, D ,FLA,58,9,9,18,20
372,P.K.,Subban, D ,NJ,68,7,11,18,79
373,Mark,Borowiecki, D ,OTT,53,7,11,18,58
374,Mackenzie,Weegar, D ,FLA,45,7,11,18,33
375,Cedric,Paquette, C ,TB,61,7,11,18,42
376,Marcus,Sorensen, RW,SJ,66,7,11,18,26
377,Johan,Larsson, LW,BUF,62,6,12,18,26
378,Brendan,Lemieux, LW,NYR,59,6,12,18,111
379,Brandon,Montour, D ,BUF,54,5,13,18,28
380,Vladislav,Gavrikov, D ,CBJ,69,5,13,18,18
381,Brett,Pesce, D ,CAR,61,4,14,18,27
382,Matt,Roy, LW,LA,70,4,14,18,10
383,Michal,Kempny, D ,WSH,58,3,15,18,22
384,Justin,Holl, D ,TOR,68,2,16,18,43
385,Brandon,Sutter, C ,VAN,44,8,9,17,25
386,Alex,Tuch, RW,VGS,42,8,9,17,8
387,Alex,Steen, LW,STL,55,7,10,17,12
388,Kyle,Clifford, LW,LA/TOR,69,7,10,17,68
389,Brock,McGinn, LW,CAR,68,7,10,17,17
390,Troy,Stecher, D ,VAN,69,5,12,17,32
391,Olli,Maatta, D ,CHI,65,4,13,17,20
392,Madison,Bowey, D ,DET,53,3,14,17,34
393,Darren,Helm, C ,DET,68,9,7,16,37
394,Garnet,Hathaway, RW,WSH,66,9,7,16,79
395,Blake,Comeau, LW,DAL,55,8,8,16,36
396,David,Kampf, C ,CHI,70,8,8,16,8
397,Colton,Sceviour, C ,FLA,69,6,10,16,6
398,Michael,Amadio, C ,LA,68,6,10,16,10
399,Dillon,Dube, C ,CGY,45,6,10,16,6
400,Justin,Faulk, D ,STL,69,5,11,16,32
401,Tucker,Poolman, D ,WPG,57,4,12,16,24
402,Ben,Hutton, D ,LA,65,4,12,16,14
403,Philippe,Myers, D ,PHI,50,4,12,16,30
404,Erik,Johnson, D ,COL,59,3,13,16,20
405,Alec,Martinez, D ,LA/VGS,51,3,13,16,23
406,Mike,Reilly, D ,MTL/OTT,44,1,15,16,24
407,Colton,Sissons, C ,NSH,57,9,6,15,20
408,Drake,Caggiula, C ,CHI,40,9,6,15,32
409,Filip,Zadina, RW,DET,28,8,7,15,2
410,Ryan,Reaves, RW,VGS,71,8,7,15,47
411,Jordan,Weal, C ,MTL,49,8,7,15,14
412,Riley,Sheahan, C ,EDM,66,8,7,15,6
413,Tomas,Nosek, C ,VGS,67,8,7,15,20
414,Pierre,Engvall, LW,TOR,48,8,7,15,6
415,Mathieu,Perreault, C ,WPG,49,7,8,15,10
416,Nic,Dowd, C ,WSH,56,7,8,15,28
417,Jonathan,Drouin, C ,MTL,27,7,8,15,14
418,Nicolas,Aube-Kubel, RW,PHI,36,7,8,15,19
419,Brian,Boyle, C ,FLA,39,6,9,15,17
420,Marc-Edouard,Vlasic, D ,SJ,70,5,10,15,10
421,Cody,Eakin, C ,WPG/VGS,49,5,10,15,16
422,Troy,Terry, RW,ANA,47,4,11,15,6
423,Henri,Jokiharju, D ,BUF,69,4,11,15,32
424,Nate,Thompson, C ,MTL/PHI,70,4,11,15,30
425,Ryan,Carpenter, C ,CHI,69,3,12,15,28
426,Michael,Del Zotto, D ,ANA,49,2,13,15,14
427,Radko,Gudas, D ,WSH,63,2,13,15,40
428,Casey,Cizikas, C ,NYI,48,10,4,14,41
429,Carson,Soucy, D ,MIN,55,7,7,14,18
430,Michael,Frolik, RW,BUF/CGY,57,6,8,14,28
431,Nick,Holden, D ,VGS,61,6,8,14,13
432,Austin,Watson, LW,NSH,53,6,8,14,65
433,Zdeno,Chara, D ,BOS,68,5,9,14,60
434,Riley,Nash, C ,CBJ,64,5,9,14,10
435,Leo,Komarov, C ,NYI,48,4,10,14,10
436,Nikolai,Prokhorkin, LW,LA,43,4,10,14,6
437,Haydn,Fleury, D ,CAR,45,4,10,14,8
438,Andrew,Cogliano, C ,DAL,68,3,11,14,30
439,Andy,Greene, D ,NJ/NYI,63,2,12,14,16
440,Brenden,Dillon, D ,SJ/WSH,69,1,13,14,104
441,Ryan,Lindgren, D ,NYR,60,1,13,14,47
442,Carter,Verhaeghe, C ,TB,52,9,4,13,8
443,Nicolas,Deslauriers, LW,ANA,59,7,6,13,92
444,Antoine,Roussel, LW,VAN,41,7,6,13,43
445,Zach,Aston-Reese, C ,PIT,57,6,7,13,28
446,Alexandre,Texier, C ,CBJ,36,6,7,13,10
447,Loui,Eriksson, LW,VAN,49,6,7,13,12
448,Sam,Gagner, C ,DET/EDM,42,6,7,13,12
449,Sammy,Blais, LW,STL,40,6,7,13,20
450,Sam,Lafferty, C ,PIT,50,6,7,13,23
451,Scott,Mayfield, D ,NYI,67,5,8,13,53
452,Victor,Rask, C ,MIN,43,5,8,13,6
453,Adam,Boqvist, D ,CHI,41,4,9,13,6
454,Marco,Scandella, D ,BUF/MTL/STL,62,4,9,13,20
455,Nikita,Zadorov, D ,COL,64,4,9,13,65
456,Jake,McCabe, D ,BUF,66,3,10,13,41
457,Robert,Hagg, D ,PHI,49,3,10,13,30
458,Jordan,Oesterle, D ,ARI,58,3,10,13,14
459,Jordan,Martinook, LW,CAR,45,2,11,13,22
460,Sam,Bennett, C ,CGY,52,8,4,12,36
461,Max,Jones, LW,ANA,59,8,4,12,36
462,Frederik,Gauthier, C ,TOR,61,7,5,12,10
463,Eric,Robinson, LW,CBJ,50,7,5,12,12
464,Trevor,Lewis, C ,LA,56,6,6,12,16
465,Melker,Karlsson, RW,SJ,61,6,6,12,20
466,Shayne,Gostisbehere, D ,PHI,42,5,7,12,20
467,Devin,Shore, C ,ANA/CBJ,45,5,7,12,8
468,Erik,Cernak, D ,TB,67,5,7,12,59
469,Cody,Glass, C ,VGS,39,5,7,12,6
470,Denis,Malgin, C ,TOR/FLA,44,4,8,12,14
471,Travis,Hamonic, D ,CGY,50,3,9,12,27
472,Justin,Schultz, D ,PIT,46,3,9,12,6
473,Ron,Hainsey, D ,OTT,64,1,11,12,12
474,Ryan,McDonagh, D ,TB,50,1,11,12,19
475,Nikita,Zaitsev, D ,OTT,58,1,11,12,22
476,Justin,Williams, RW,CAR,20,8,3,11,6
477,Michael,Grabner, RW,ARI,46,8,3,11,6
478,Austin,Wagner, LW,LA,65,6,5,11,39
479,Brad,Richardson, C ,ARI,59,6,5,11,20
480,Dylan,Gambrell, C ,SJ,50,5,6,11,17
481,Dante,Fabbro, D ,NSH,64,5,6,11,38
482,Max,Comtois, LW,ANA,29,5,6,11,24
483,Travis,Dermott, D ,TOR,56,4,7,11,37
484,Dominic,Toninato, C ,FLA,46,4,7,11,37
485,Victor,Mete, D ,MTL,51,4,7,11,20
486,Zack,Smith, C ,CHI,50,4,7,11,29
487,Mike,Green, D ,DET/EDM,50,3,8,11,32
488,Jack,Johnson, D ,PIT,67,3,8,11,26
489,Brendan,Leipsic, LW,WSH,61,3,8,11,13
490,Jacob,Larsson, D ,ANA,60,2,9,11,12
491,Mario,Ferraro, D ,SJ,61,2,9,11,30
492,Johnny,Boychuk, D ,NYI,64,2,9,11,14
493,Marc,Staal, D ,NYR,52,2,9,11,16
494,Nicolas,Hague, D ,VGS,38,1,10,11,32
495,Colin,Miller, D ,BUF,51,1,10,11,22
496,Jason,Demers, D ,ARI,50,0,11,11,25
497,David,Savard, D ,CBJ,68,0,11,11,35
498,Mackenzie,MacEachern, LW,STL,51,7,3,10,33
499,Chris,Wagner, RW,BOS,67,6,4,10,47
500,Jujhar,Khaira, LW,EDM,64,6,4,10,38
501,Trevor,Moore, LW,LA/TOR,42,6,4,10,6
502,Evan,Rodrigues, RW,BUF/PIT,45,6,4,10,14
503,Kevin,Stenlund, C ,CBJ,32,6,4,10,8
504,Curtis,Lazar, RW,BUF,38,5,5,10,9
505,Nicolas,Roy, C ,VGS,28,5,5,10,8
506,Gaetan,Haas, C ,EDM,58,5,5,10,6
507,Nathan,Gerbe, LW,CBJ,30,4,6,10,22
508,Paul,Byron, C ,MTL,29,4,6,10,4
509,Adam,Lowry, C ,WPG,49,4,6,10,23
510,Tobias,Rieder, C ,CGY,55,4,6,10,6
511,Michael,Dal Colle, LW,NYI,53,4,6,10,12
512,Vladimir,Tarasenko, RW,STL,10,3,7,10,0
513,Jamie,Oleksiak, D ,DAL,69,3,7,10,41
514,Andrew,Shaw, C ,CHI,26,3,7,10,33
515,Travis,Boyd, C ,WSH,24,3,7,10,2
516,Jayce,Hawryluk, C ,OTT/FLA,26,3,7,10,16
517,Colin,Blackwell, C ,NSH,27,3,7,10,10
518,Drake,Batherson, RW,OTT,23,3,7,10,13
519,Luca,Sbisa, D ,WPG,44,2,8,10,37
520,Dmitry,Kulikov, D ,WPG,51,2,8,10,32
521,Slater,Koekkoek, D ,CHI,42,1,9,10,42
522,Dylan,DeMelo, D ,OTT/WPG,59,0,10,10,37
523,Stefan,Noesen, RW,PIT/SJ,40,7,2,9,32
524,Christian,Fischer, RW,ARI,56,6,3,9,16
525,Luke,Glendening, C ,DET,60,6,3,9,14
526,Greg,McKegg, C ,NYR,53,5,4,9,17
527,Dmytro,Timashov, LW,DET/TOR,44,4,5,9,16
528,Caleb,Jones, D ,EDM,43,4,5,9,10
529,Jordan,Kyrou, C ,STL,28,4,5,9,8
530,Casey,Mittelstadt, C ,BUF,31,4,5,9,2
531,Frans,Nielsen, C ,DET,60,4,5,9,8
532,Erik,Gudbranson, D ,PIT/ANA,51,4,5,9,95
533,Kevin,Rooney, C ,NJ,49,4,5,9,20
534,Markus,Nutivaara, D ,CBJ,37,3,6,9,4
535,Joakim,Nygard, LW,EDM,33,3,6,9,8
536,Jonas,Siegenthaler, D ,WSH,64,2,7,9,43
537,Radim,Simek, D ,SJ,48,2,7,9,14
538,Brayden,McNabb, D ,VGS,71,2,7,9,40
539,Taylor,Fedun, D ,DAL,27,2,7,9,8
540,Ryan,Murray, D ,CBJ,27,2,7,9,4
541,Jacob,De La Rose, LW,DET/STL,50,2,7,9,10
542,Jay,Bouwmeester, D ,STL,56,1,8,9,20
543,Patrik,Nemeth, D ,DET,64,1,8,9,28
544,Josh,Manson, D ,ANA,50,1,8,9,37
545,Adam,Pelech, D ,NYI,38,1,8,9,20
546,Kris,Russell, D ,EDM,55,0,9,9,14
547,Martin,Frk, RW,LA,17,6,2,8,4
548,Jesperi,Kotkaniemi, C ,MTL,36,6,2,8,23
549,Bobby,Ryan, RW,OTT,24,5,3,8,22
550,Matt,Martin, LW,NYI,55,5,3,8,40
551,Mason,Appleton, C ,WPG,46,5,3,8,20
552,Tyler,Motte, C ,VAN,34,4,4,8,10
553,Brendan,Guhle, D ,ANA,30,4,4,8,10
554,Brendan,Smith, D ,NYR,62,3,5,8,71
555,Kurtis,MacDermid, D ,LA,45,3,5,8,47
556,Josh,Brown, D ,FLA,56,3,5,8,39
557,Andrej,Sekera, D ,DAL,57,2,6,8,14
558,Jay,Beagle, C ,VAN,55,2,6,8,38
559,Dennis,Cholowski, D ,DET,36,2,6,8,6
560,Brian,Dumoulin, D ,PIT,28,1,7,8,10
561,Nathan,Beaulieu, D ,WPG,38,1,7,8,29
562,Scott,Harrington, D ,CBJ,39,1,7,8,16
563,Cody,Ceci, D ,TOR,56,1,7,8,20
564,Trevor,van Riemsdyk, D ,CAR,49,1,7,8,10
565,Matthew,Benning, D ,EDM,43,1,7,8,15
566,Vladislav,Kamenev, LW,COL,38,1,7,8,8
567,Logan,Brown, C ,OTT,23,1,7,8,4
568,Rasmus,Sandin, D ,TOR,28,1,7,8,10
569,Dan,Hamhuis, D ,NSH,60,0,8,8,35
570,Nick,Jensen, D ,WSH,68,0,8,8,13
571,Anthony,Bitetto, D ,WPG,51,0,8,8,32
572,Mark,Jankowski, C ,CGY,56,5,2,7,14
573,Mathieu,Joseph, RW,TB,37,4,3,7,16
574,Joakim,Nordstrom, LW,BOS,48,4,3,7,17
575,Gabriel,Vilardi, C ,LA,10,3,4,7,4
576,Joel,Kellman, C ,SJ,31,3,4,7,4
577,Cal,Clutterbuck, RW,NYI,37,3,4,7,22
578,Jansen,Harkins, C ,WPG,29,2,5,7,5
579,Oliver,Kylington, D ,CGY,48,2,5,7,16
580,Morgan,Frost, C ,PHI,20,2,5,7,4
581,Taro,Hirose, LW,DET,26,2,5,7,6
582,Carl,Gunnarsson, D ,STL,36,2,5,7,16
583,Michael,Stone, D ,CGY,33,2,5,7,16
584,Mirco,Mueller, D ,NJ,50,2,5,7,23
585,Jon,Merrill, D ,VGS,49,2,5,7,32
586,Jan,Rutta, D ,TB,33,1,6,7,14
587,Antti,Suomela, C ,SJ,20,1,6,7,4
588,Noah,Dobson, D ,NYI,34,1,6,7,8
589,Juuso,Riikola, D ,PIT,36,1,6,7,6
590,Zach,Bogosian, D ,BUF/TB,27,1,6,7,22
591,Jordie,Benn, D ,VAN,44,1,6,7,17
592,Trevor,Daley, D ,DET,43,0,7,7,20
593,Brett,Kulak, D ,MTL,56,0,7,7,12
594,Tim,Schaller, LW,LA/VAN,53,5,1,6,14
595,Zack,MacEwen, C ,VAN,17,5,1,6,20
596,Joey,Anderson, RW,NJ,18,4,2,6,2
597,Tom,Kuhnhackl, RW,NYI,28,3,3,6,2
598,Nick,Shore, C ,TOR/WPG,63,3,3,6,20
599,Justin,Dowling, C ,DAL,29,3,3,6,8
600,Mitchell,Stephens, C ,TB,38,3,3,6,10
601,Filip,Chlapik, C ,OTT,31,3,3,6,10
602,Par,Lindholm, C ,BOS,40,3,3,6,4
603,Robert,Bortuzzo, D ,STL,42,2,4,6,21
604,Gabriel,Bourque, LW,WPG,52,2,4,6,7
605,Brett,Ritchie, RW,BOS,27,2,4,6,21
606,Chad,Ruhwedel, D ,PIT,41,2,4,6,12
607,Scott,Sabourin, RW,OTT,35,2,4,6,33
608,Matthew,Highmore, C ,CHI,36,2,4,6,6
609,Yakov,Trenin, C ,NSH,21,2,4,6,9
610,Deryk,Engelland, D ,VGS,49,1,5,6,37
611,David,Backes, RW,BOS/ANA,22,1,5,6,22
612,Calvin,de Haan, D ,CHI,29,1,5,6,10
613,Adam,Larsson, D ,EDM,49,1,5,6,35
614,Connor,Carrick, D ,NJ,29,1,5,6,17
615,Karson,Kuhlman, RW,BOS,25,1,5,6,13
616,Oscar,Fantenberg, D ,VAN,36,1,5,6,6
617,Noah,Gregor, C ,SJ,28,3,2,5,8
618,Zac,Rinaldo, C ,CGY,19,3,2,5,34
619,Logan,Shaw, RW,WPG,35,3,2,5,0
620,Jakob,Lilja, LW,CBJ,37,2,3,5,2
621,Bryan,Little, C ,WPG,7,2,3,5,2
622,Stephen,Johns, D ,DAL,17,2,3,5,10
623,Adam,Erne, LW,DET,56,2,3,5,28
624,Joseph,Blandisi, C ,PIT,21,2,3,5,10
625,Matt,Luff, RW,LA,18,1,4,5,2
626,Ville,Heinola, D ,WPG,8,1,4,5,4
627,Niklas,Hjalmarsson, D ,ARI,27,1,4,5,14
628,Dale,Weise, RW,MTL,23,1,4,5,16
629,Jarred,Tinordi, D ,NSH,28,1,4,5,34
630,Micheal,Ferland, LW,VAN,14,1,4,5,7
631,Tim,Heed, D ,SJ,38,1,4,5,2
632,Joakim,Ryan, D ,LA,35,1,4,5,10
633,Dean,Kukan, D ,CBJ,33,1,4,5,12
634,Sami,Niku, D ,WPG,17,0,5,5,12
635,Riley,Stillman, D ,FLA,34,0,5,5,14
636,Libor,Hajek, D ,NYR,28,0,5,5,12
637,Patrick,Russell, RW,EDM,45,0,5,5,12
638,Jesper,Boqvist, C ,NJ,35,4,0,4,8
639,Brent,Seabrook, D ,CHI,32,3,1,4,8
640,Markus,Granlund, C ,EDM,34,3,1,4,14
641,John,Hayden, C ,NJ,43,3,1,4,77
642,Ross,Johnston, LW,NYI,32,3,1,4,78
643,Morgan,Geekie, C ,CAR,2,3,1,4,2
644,Mikkel,Boedker, LW,OTT,20,2,2,4,0
645,Christoffer,Ehn, C ,DET,54,2,2,4,2
646,Aleksi,Saarela, C ,FLA,9,2,2,4,0
647,Braydon,Coburn, D ,TB,40,1,3,4,16
648,Cameron,Gaunce, D ,TB,3,1,3,4,4
649,Martin,Marincin, D ,TOR,26,1,3,4,14
650,Korbinian,Holzer, D ,ANA/NSH,49,1,3,4,37
651,Valentin,Zykov, RW,VGS,15,1,3,4,6
652,Dakota,Mermis, D ,NJ,10,1,3,4,4
653,Josh,Anderson, RW,CBJ,26,1,3,4,17
654,Phil,Di Giuseppe, LW,NYR,20,1,3,4,2
655,Brendan,Perlini, LW,CHI/DET,40,1,3,4,10
656,Josh,Mahura, D ,ANA,11,1,3,4,2
657,Barrett,Hayton, C ,ARI,20,1,3,4,14
658,Roman,Polak, D ,DAL,41,0,4,4,24
659,Colin,Wilson, C ,COL,9,0,4,4,0
660,Danny,DeKeyser, D ,DET,8,0,4,4,4
661,Dryden,Hunt, LW,FLA,21,0,4,4,24
662,Erik,Brannstrom, D ,OTT,31,0,4,4,16
663,Carl,Grundstrom, RW,LA,13,0,4,4,8
664,Ilya,Lyubushkin, D ,ARI,51,0,4,4,18
665,Isac,Lundestrom, C ,ANA,15,0,4,4,0
666,Alex,True, C ,SJ,12,0,4,4,2
667,Kieffer,Bellows, LW,NYI,8,2,1,3,2
668,Givani,Smith, RW,DET,21,2,1,3,9
669,Martin,Kaut, RW,COL,9,2,1,3,2
670,Jake,Evans, C ,MTL,13,2,1,3,0
671,John,Moore, D ,BOS,24,2,1,3,11
672,Stefan,Matteau, C ,CBJ,9,2,1,3,5
673,Austin,Czarnik, C ,CGY,8,2,1,3,0
674,Dennis,Gilbert, D ,CHI,21,1,2,3,38
675,Mikhail,Vorobyev, C ,PHI,20,1,2,3,6
676,Rudolfs,Balcers, LW,OTT,15,1,2,3,0
677,Rasmus,Asplund, C ,BUF,29,1,2,3,6
