,first_name,last_name,GP,G,A,PTS,PIM
416,Nic,Dowd,56,7,8,15,28
417,Jonathan,Drouin,27,7,8,15,14
418,Nicolas,Aube-Kubel,36,7,8,15,19
419,Brian,Boyle,39,6,9,15,17
420,Marc-Edouard,Vlasic,70,5,10,15,10
421,Cody,Eakin,49,5,10,15,16
422,Troy,Terry,47,4,11,15,6
423,Henri,Jokiharju,69,4,11,15,32
424,Nate,Thompson,70,4,11,15,30
425,Ryan,Carpenter,69,3,12,15,28
426,Michael,Del Zotto,49,2,13,15,14
427,Radko,Gudas,63,2,13,15,40
428,Casey,Cizikas,48,10,4,14,41
429,Carson,Soucy,55,7,7,14,18
430,Michael,Frolik,57,6,8,14,28
431,Nick,Holden,61,6,8,14,13
432,Austin,Watson,53,6,8,14,65
433,Zdeno,Chara,68,5,9,14,60
434,Riley,Nash,64,5,9,14,10
435,Leo,Komarov,48,4,10,14,10
436,Nikolai,Prokhorkin,43,4,10,14,6
437,Haydn,Fleury,45,4,10,14,8
438,Andrew,Cogliano,68,3,11,14,30
439,Andy,Greene,63,2,12,14,16
440,Brenden,Dillon,69,1,13,14,104
441,Ryan,Lindgren,60,1,13,14,47
442,Carter,Verhaeghe,52,9,4,13,8
443,Nicolas,Deslauriers,59,7,6,13,92
444,Antoine,Roussel,41,7,6,13,43
445,Zach,Aston-Reese,57,6,7,13,28
446,Alexandre,Texier,36,6,7,13,10
447,Loui,Eriksson,49,6,7,13,12
448,Sam,Gagner,42,6,7,13,12
449,Sammy,Blais,40,6,7,13,20
450,Sam,Lafferty,50,6,7,13,23
451,Scott,Mayfield,67,5,8,13,53
452,Victor,Rask,43,5,8,13,6
453,Adam,Boqvist,41,4,9,13,6
454,Marco,Scandella,62,4,9,13,20
455,Nikita,Zadorov,64,4,9,13,65
456,Jake,McCabe,66,3,10,13,41
457,Robert,Hagg,49,3,10,13,30
458,Jordan,Oesterle,58,3,10,13,14
459,Jordan,Martinook,45,2,11,13,22
460,Sam,Bennett,52,8,4,12,36
461,Max,Jones,59,8,4,12,36
462,Frederik,Gauthier,61,7,5,12,10
463,Eric,Robinson,50,7,5,12,12
464,Trevor,Lewis,56,6,6,12,16
465,Melker,Karlsson,61,6,6,12,20
466,Shayne,Gostisbehere,42,5,7,12,20
467,Devin,Shore,45,5,7,12,8
468,Erik,Cernak,67,5,7,12,59
469,Cody,Glass,39,5,7,12,6
470,Denis,Malgin,44,4,8,12,14
471,Travis,Hamonic,50,3,9,12,27
472,Justin,Schultz,46,3,9,12,6
473,Ron,Hainsey,64,1,11,12,12
474,Ryan,McDonagh,50,1,11,12,19
475,Nikita,Zaitsev,58,1,11,12,22
476,Justin,Williams,20,8,3,11,6
477,Michael,Grabner,46,8,3,11,6
478,Austin,Wagner,65,6,5,11,39
479,Brad,Richardson,59,6,5,11,20
480,Dylan,Gambrell,50,5,6,11,17
481,Dante,Fabbro,64,5,6,11,38
482,Max,Comtois,29,5,6,11,24
483,Travis,Dermott,56,4,7,11,37
484,Dominic,Toninato,46,4,7,11,37
485,Victor,Mete,51,4,7,11,20
486,Zack,Smith,50,4,7,11,29
487,Mike,Green,50,3,8,11,32
488,Jack,Johnson,67,3,8,11,26
489,Brendan,Leipsic,61,3,8,11,13
490,Jacob,Larsson,60,2,9,11,12
491,Mario,Ferraro,61,2,9,11,30
492,Johnny,Boychuk,64,2,9,11,14
493,Marc,Staal,52,2,9,11,16
494,Nicolas,Hague,38,1,10,11,32
495,Colin,Miller,51,1,10,11,22
496,Jason,Demers,50,0,11,11,25
497,David,Savard,68,0,11,11,35
498,Mackenzie,MacEachern,51,7,3,10,33
499,Chris,Wagner,67,6,4,10,47
500,Jujhar,Khaira,64,6,4,10,38
501,Trevor,Moore,42,6,4,10,6
502,Evan,Rodrigues,45,6,4,10,14
503,Kevin,Stenlund,32,6,4,10,8
504,Curtis,Lazar,38,5,5,10,9
505,Nicolas,Roy,28,5,5,10,8
506,Gaetan,Haas,58,5,5,10,6
507,Nathan,Gerbe,30,4,6,10,22
508,Paul,Byron,29,4,6,10,4
509,Adam,Lowry,49,4,6,10,23
510,Tobias,Rieder,55,4,6,10,6
511,Michael,Dal Colle,53,4,6,10,12
512,Vladimir,Tarasenko,10,3,7,10,0
513,Jamie,Oleksiak,69,3,7,10,41
514,Andrew,Shaw,26,3,7,10,33
515,Travis,Boyd,24,3,7,10,2
516,Jayce,Hawryluk,26,3,7,10,16
517,Colin,Blackwell,27,3,7,10,10
518,Drake,Batherson,23,3,7,10,13
519,Luca,Sbisa,44,2,8,10,37
520,Dmitry,Kulikov,51,2,8,10,32
