,first_name,last_name,team,position
310,Sonny,Milano,ANA/CBJ, LW
311,Blake,Lizotte,LA, C 
312,Jake,Muzzin,TOR, D 
313,Sean,Kuraly,BOS, C 
314,Sami,Vatanen,CAR/NJ, D 
315,Esa,Lindell,DAL, D 
316,Hampus,Lindholm,ANA, D 
317,Patrick,Marleau,PIT/SJ, C 
318,Richard,Panik,WSH, RW
319,Teddy,Blueger,PIT, C 
320,Pierre-Edouard,Bellemare,COL, RW
321,Dominik,Simon,PIT, C 
322,Sam,Steel,ANA, C 
323,Alexander,Wennberg,CBJ, C 
324,Vinnie,Hinostroza,ARI, C 
325,Noah,Hanifin,CGY, D 
326,Rasmus,Andersson,CGY, D 
327,Marcus,Pettersson,PIT, D 
328,Josh,Archibald,EDM, RW
329,Ben,Chiarot,MTL, D 
330,Jason,Dickinson,DAL, C 
331,Nick,Ritchie,BOS/ANA, LW
332,Joel,Farabee,PHI, LW
333,Matt,Nieto,COL, LW
334,Andreas,Johnsson,TOR, LW
335,Jack,Hughes,NJ, C 
336,Valtteri,Filppula,DET, C 
337,Tyler,Myers,VAN, D 
338,Mattias,Janmark,DAL, C 
339,Ethan,Bear,EDM, D 
340,Corey,Perry,DAL, RW
341,Mikko,Koivu,MIN, C 
342,Will,Butcher,NJ, D 
343,Matt,Grzelcyk,BOS, D 
344,Nick,Leddy,NYI, D 
345,Artem,Anisimov,OTT, C 
346,Radek,Faksa,DAL, C 
347,Emil,Bemstrom,CBJ, C 
348,Ryan,Hartman,MIN, RW
349,Nick,Paul,OTT, LW
350,Jimmy,Vesey,BUF, LW
351,Milan,Lucic,CGY, LW
352,Tyler,Pitlick,PHI, RW
353,Michael,Matheson,FLA, D 
354,Michael,Raffl,PHI, LW
355,Joel,Edmundson,CAR, D 
356,Chris,Tanev,VAN, D 
357,Zemgus,Girgensons,BUF, C 
358,Brett,Howden,NYR, C 
359,Kyle,Okposo,BUF, RW
360,Anders,Bjork,BOS, LW
361,Brad,Hunt,MIN, D 
362,Carter,Rowney,ANA, RW
363,Josh,Leivo,VAN, LW
364,William,Carrier,VGS, LW
365,Anton,Stralman,FLA, D 
366,Connor,Murphy,CHI, D 
367,Brandon,Carlo,BOS, D 
368,T.J.,Brodie,CGY, D 
369,Justin,Braun,PHI, D 
370,Oskar,Lindblom,PHI, LW
371,Mark,Pysyk,FLA, D 
372,P.K.,Subban,NJ, D 
373,Mark,Borowiecki,OTT, D 
374,Mackenzie,Weegar,FLA, D 
375,Cedric,Paquette,TB, C 
376,Marcus,Sorensen,SJ, RW
377,Johan,Larsson,BUF, LW
378,Brendan,Lemieux,NYR, LW
379,Brandon,Montour,BUF, D 
380,Vladislav,Gavrikov,CBJ, D 
381,Brett,Pesce,CAR, D 
382,Matt,Roy,LA, LW
383,Michal,Kempny,WSH, D 
384,Justin,Holl,TOR, D 
385,Brandon,Sutter,VAN, C 
386,Alex,Tuch,VGS, RW
387,Alex,Steen,STL, LW
388,Kyle,Clifford,LA/TOR, LW
389,Brock,McGinn,CAR, LW
390,Troy,Stecher,VAN, D 
391,Olli,Maatta,CHI, D 
392,Madison,Bowey,DET, D 
393,Darren,Helm,DET, C 
394,Garnet,Hathaway,WSH, RW
395,Blake,Comeau,DAL, LW
396,David,Kampf,CHI, C 
397,Colton,Sceviour,FLA, C 
398,Michael,Amadio,LA, C 
399,Dillon,Dube,CGY, C 
400,Justin,Faulk,STL, D 
401,Tucker,Poolman,WPG, D 
402,Ben,Hutton,LA, D 
403,Philippe,Myers,PHI, D 
404,Erik,Johnson,COL, D 
405,Alec,Martinez,LA/VGS, D 
406,Mike,Reilly,MTL/OTT, D 
407,Colton,Sissons,NSH, C 
408,Drake,Caggiula,CHI, C 
409,Filip,Zadina,DET, RW
410,Ryan,Reaves,VGS, RW
411,Jordan,Weal,MTL, C 
412,Riley,Sheahan,EDM, C 
413,Tomas,Nosek,VGS, C 
414,Pierre,Engvall,TOR, LW
415,Mathieu,Perreault,WPG, C 
416,Nic,Dowd,WSH, C 
417,Jonathan,Drouin,MTL, C 
418,Nicolas,Aube-Kubel,PHI, RW
419,Brian,Boyle,FLA, C 
420,Marc-Edouard,Vlasic,SJ, D 
421,Cody,Eakin,WPG/VGS, C 
422,Troy,Terry,ANA, RW
423,Henri,Jokiharju,BUF, D 
424,Nate,Thompson,MTL/PHI, C 
425,Ryan,Carpenter,CHI, C 
426,Michael,Del Zotto,ANA, D 
427,Radko,Gudas,WSH, D 
428,Casey,Cizikas,NYI, C 
429,Carson,Soucy,MIN, D 
430,Michael,Frolik,BUF/CGY, RW
431,Nick,Holden,VGS, D 
432,Austin,Watson,NSH, LW
433,Zdeno,Chara,BOS, D 
434,Riley,Nash,CBJ, C 
